pop1,pop2,mean_pairwise_IBD_length,lat,long
Spanish-Northwest,Kurd,1.291,43.8,40.4
Netherlands-AJ,Kumyk,1.903,43.18,46.76
Shaigi,Belarusian,1.608,53.64,27.47
Jew-Iberian,Komi,1.932,61.87,51.43
Jew-Cochin,Sicilian-West,0.975,38.02,12.52
French-Southeast,Ingush,1.657,43.52,44.58
Cossack,Georgian,1.633,41.96,42.06
English-Southeast,Romanian,4.534,45.78,22.95
Libyan,Russia-AJ,1.722,55.75,37.62
Libyan,Kurd,1.987,43.8,40.4
Brahmin,Romanian,1.716,45.78,22.95
Jew-Iberian,Assyrian-Caucasus,2.063,40.21,44.34
Eritrean,Jew-Cochin,1.106,9.97,76.28
Afar,Kyrgyz-South,0.181,38.11,73.86
Austria-AJ,Albanian,1.563,41.32,19.82
French-Southeast,Mordvin,3.795,54.49,44.21
Mansi,Spanish-Northwest,1.719,42.5,-8.1
French-Southwest,Baloch,1.151,30.5,66.5
French-Southwest,Uzbek-West,0.845,41.55,60.63
Sicilian-East,Karelian,2.682,60.85,32.14
Sicilian-East,Jew-Iraqi,0.773,33.33,44.42
Scot,Norwegian,9.135,60.32,5.81
Basque-Spain,Italian-South,3.058,41.89,14.49
Kryashen,Norwegian,4.719,60.32,5.81
Cossack,Lak,2.394,42.17,47.12
Jew-Iraqi,Kumyk,1.143,43.18,46.76
Algerian,Hemshin,0.412,41,39.7
Kyrgyz-South,Romanian,1.219,45.78,22.95
Spanish-Northwest,Bashkir,1.908,54.32,56.12
English-Southwest,Udmurt,3.623,56.43,52.66
Algerian,Swede,1.108,59.31,18
Austria-AJ,Roman-Iberia,1.977,40.67,-3.14
Shaigi,Scot,1.48,56.04,-3.94
Afar,Gujarati,0.188,23.2,72.7
Mansi,Tuscan,1.954,43.36,11.12
Shaigi,Basque-France,1.667,43,0
Eritrean,Corsican,0.482,42.04,9.01
Spanish-Northwest,Avar,1.148,41.93,47.33
Netherlands-AJ,Orcadian,5.431,59,-3
Jew-Iberian,Azeri,1.084,40.97,47.86
Jew-Cochin,Udmurt,1.21,56.43,52.66
Cossack,Germany-AJ,2.767,52.52,13.4
French-Southeast,Chechen,1.507,43.33,45.65
English-Southeast,Saudi,2.202,19.75,43.35
Libyan,Bashkir,0.593,54.32,56.12
Jew-Iberian,Cypriot,1.543,35.13,33.43
Libyan,Avar,0.774,41.93,47.33
Brahmin,Saudi,1.039,19.75,43.35
Eritrean,Libyan,0.697,32.88,13.19
Austria-AJ,Turk-Northeast,0.771,41,39.73
Afar,Sicilian-East,0.387,37.14,15.24
French-Southeast,Ukraine-AJ,2.891,50.43,30.52
Mansi,English-Southwest,4.22,50.3,-4.9
French-Southwest,Swede,4.982,59.31,18
French-Southwest,Hemshin,0.94,41,39.7
Sicilian-East,French-Southwest,2.026,43.5,-0.72
Scot,Abkhasian,2.038,43.04,40.93
Sicilian-East,Gujarati,0.872,23.2,72.7
Kryashen,Abkhasian,1.515,43.04,40.93
Basque-Spain,Tuscan,3.436,43.36,11.12
Cossack,Punjabi,0.746,29.89,74.48
Algerian,Iranian-South,0.572,27.18,56.27
Jew-Iraqi,Orcadian,1.581,59,-3
English-Southwest,Belarus-AJ,2.299,53.9,27.57
Kyrgyz-South,Saudi,0.464,19.75,43.35
Spanish-Northwest,Spanish-Catalonia,3.141,41.68,1.66
Shaigi,Algerian,11.922,36.75,3.04
Austria-AJ,Yemenite-Highlands,1.153,14.34,44.68
Algerian,Brahui,0.506,30.5,66.5
Mansi,Slovenian,4.059,46.15,15
Shaigi,Croat,0.975,43.63,16.84
Afar,Pashtun,0.226,33.49,70.5
Netherlands-AJ,Uyghur-North,1.643,43.95,80.86
Eritrean,Greek-South,0.306,37.9,23.7
Spanish-Northwest,Turk-South,1.947,37,35.32
Jew-Cochin,Belarus-AJ,2.48,53.9,27.57
Cossack,Tatar-Volga,8.335,54.19,52.71
Jew-Iberian,Armenian,0.971,40.2,44.39
Jew-Iberian,Jew-Tunisian,7.829,36.8,10.18
English-Southeast,Portuguese,5.466,39.4,-8.22
Austria-AJ,Russian-Northwest,2.902,57.59,28.73
French-Southeast,Kurd,0.93,43.8,40.4
Libyan,Spanish-Catalonia,1.493,41.68,1.66
Libyan,Turk-South,1.778,37,35.32
Brahmin,Portuguese,1.491,39.4,-8.22
Eritrean,Basque-Spain,0.943,43.13,-2.08
Afar,Jew-Iraqi,0.079,33.33,44.42
French-Southeast,Russia-AJ,2.743,55.75,37.62
Mansi,French-Southeast,2.848,44.01,6.21
French-Southwest,Brahui,0.902,30.5,66.5
French-Southwest,Iranian-South,1.307,27.18,56.27
Sicilian-East,Jew-Moroccan,2.12,34.02,-6.84
Sicilian-East,Pashtun,1.127,33.49,70.5
Scot,Icelandic,9.799,64.13,-21.93
Basque-Spain,Slovenian,4.146,46.15,15
Kryashen,Icelandic,3.976,64.13,-21.93
Algerian,Ukranian-West,0.444,50.3,25.49
English-Southwest,Sindhi,1.315,25.49,69
Cossack,Lebanese-Christian,1.406,33.89,35.5
Jew-Iraqi,Uyghur-North,1.167,43.95,80.86
Spanish-Northwest,Poland-AJ,2.31,52.25,21
Kyrgyz-South,Portuguese,0.657,39.4,-8.22
Shaigi,Netherlands-AJ,2.021,52.35,4.92
Austria-AJ,Spanish-Balearic,2.186,39.33,2.37
Algerian,Uzbek-East,0.441,41.18,69.22
Shaigi,Sicilian-West,0.981,38.02,12.52
Afar,Chuvash,0.084,55.33,48.74
Mansi,Slovakian,4.892,48.67,19.7
Spanish-Northwest,Karakalpak,1.186,42.48,59.61
Netherlands-AJ,Spanish-Valencia,3.508,39.02,-0.37
Eritrean,Estonian,0.571,58.45,25.31
Cossack,Yemenite-Desert,0.946,16.48,50.03
Jew-Cochin,Sindhi,1.721,25.49,69
Jew-Iberian,Pole,2.512,51.98,19.4
English-Southeast,Spanish-North,4.736,43.05,-3.35
Austria-AJ,Latvian,1.805,56.91,24.1
Jew-Iberian,general-AJ,6.39,52.23,21.02
French-Southeast,Avar,1.838,41.93,47.33
Libyan,Poland-AJ,1.48,52.25,21
Libyan,Karakalpak,0.437,42.48,59.61
Brahmin,Spanish-North,1.817,43.05,-3.35
Afar,French-Southwest,0.136,43.5,-0.72
Mansi,Jew-Cochin,0.832,9.97,76.28
Eritrean,Kyrgyz-South,0.43,38.11,73.86
French-Southeast,Bashkir,2.337,54.32,56.12
French-Southwest,Uzbek-East,1.232,41.18,69.22
French-Southwest,Ukranian-West,4.248,50.3,25.49
Sicilian-East,Jew-French,2.108,48.87,2.33
Sicilian-East,Chuvash,1.584,55.33,48.74
Scot,Italian-North,4.62,46,10
Basque-Spain,Slovakian,5.155,48.67,19.7
Algerian,Russian-Southwest,0.686,51.34,36.86
Kryashen,Italian-North,3.702,46,10
Cossack,Bulgarian,6.889,42.16,24.74
English-Southwest,Italian-South,3.255,41.89,14.49
Spanish-Northwest,Russian-Central,2.974,57.19,38.52
Shaigi,Afar,0.397,11.8,41.4
Austria-AJ,Druze,1.008,32.05,35.02
Algerian,Tatar-Siberia,0.58,57.75,67.71
Shaigi,Udmurt,0.573,56.43,52.66
Jew-Iraqi,Spanish-Valencia,1.114,39.02,-0.37
Kyrgyz-South,Spanish-North,0.971,43.05,-3.35
Mansi,Corsican,1.801,42.04,9.01
Afar,Ossetian,0.212,43.07,44.23
Netherlands-AJ,Moldavian,3.078,46.51,29.66
Jew-Cochin,Italian-South,1.389,41.89,14.49
Cossack,Lithuania-AJ,3.662,54.68,25.32
Spanish-Northwest,Turk-Central,1.242,38.73,35.48
Eritrean,Russian-Arctic,0.411,63.43,45.1
Jew-Iberian,Sardinian,1.853,40,9
Austria-AJ,Gagauz,1.752,45.54,28.38
Jew-Iberian,Jew-Yemenite,1.257,15.35,44.2
Libyan,Russian-Central,1.146,57.19,38.52
English-Southeast,French-Northeast,5.089,48.76,6.13
French-Southeast,Turk-South,1.461,37,35.32
Libyan,Turk-Central,0.521,38.73,35.48
Brahmin,French-Northeast,2.035,48.76,6.13
Mansi,Libyan,0.711,32.88,13.19
Afar,Jew-Moroccan,0.429,34.02,-6.84
French-Southeast,Spanish-Catalonia,3.763,41.68,1.66
Eritrean,Sicilian-East,0.429,37.14,15.24
French-Southwest,Russian-Southwest,3.865,51.34,36.86
French-Southwest,Tatar-Siberia,1.687,57.75,67.71
Sicilian-East,Jew-Ethiopian,0.351,9.03,38.73
Scot,Circassian,2.119,44.28,41.55
Algerian,Ukranian-East,1.1,50.74,34.39
Cossack,Albanian,5.046,41.32,19.82
Sicilian-East,Ossetian,1.594,43.07,44.23
Basque-Spain,Corsican,4.847,42.04,9.01
Kryashen,Circassian,2.055,44.28,41.55
English-Southwest,Tuscan,3.318,43.36,11.12
Shaigi,Belarus-AJ,1.415,53.9,27.57
Shaigi,English-Southeast,1.011,51.19,0.73
Algerian,Spanish-Central,1.507,40.36,-3.74
Austria-AJ,Adygei,2.051,44.39,39.31
Jew-Iraqi,Moldavian,1.597,46.51,29.66
Cossack,Roman-Iberia,2.228,40.67,-3.14
Kyrgyz-South,French-Northeast,0.994,48.76,6.13
Jew-Cochin,Tuscan,1.335,43.36,11.12
Mansi,Greek-South,2.472,37.9,23.7
Netherlands-AJ,Jew-Azeri,1.78,40.88,48.02
Afar,Turk-Northwest,0.346,40.4,28.56
Spanish-Northwest,Moroccan,2.586,33.53,-7.58
Eritrean,Karelian,0.368,60.85,32.14
Jew-Iberian,Baloch,0.859,30.5,66.5
Jew-Iberian,Uzbek-West,0.87,41.55,60.63
Austria-AJ,Bengali,0.221,23.51,89.9
French-Southeast,Karakalpak,1.505,42.48,59.61
English-Southeast,French-Northwest,7.228,48.25,-3.24
Libyan,Moroccan,8.243,33.53,-7.58
Mansi,Basque-Spain,3.684,43.13,-2.08
Afar,Jew-French,0.516,48.87,2.33
Brahmin,French-Northwest,1.114,48.25,-3.24
French-Southeast,Poland-AJ,3.108,52.25,21
Eritrean,Jew-Iraqi,0.496,33.33,44.42
French-Southwest,Ukranian-East,4.123,50.74,34.39
Sicilian-East,Latvia-AJ,1.772,56.95,24.1
Algerian,Turkmen,0.533,42.49,59.41
French-Southwest,Spanish-Central,11.061,40.36,-3.74
Cossack,Turk-Northeast,1.613,41,39.73
Scot,Iranian-North,1.952,36.29,52.43
Basque-Spain,Greek-South,2.367,37.9,23.7
Sicilian-East,Turk-Northwest,1.899,40.4,28.56
English-Southwest,Slovenian,5.012,46.15,15
Kryashen,Iranian-North,1.47,36.29,52.43
Shaigi,Sindhi,0.417,25.49,69
English-Southwest,French-Southeast,4.24,44.01,6.21
Algerian,Hungarian,0.839,47.49,19.07
Shaigi,Mansi,0.228,61.24,66.48
Austria-AJ,Tajik,1.317,38.41,69.6
Cossack,Yemenite-Highlands,0.803,14.34,44.68
Jew-Cochin,Slovenian,1.378,46.15,15
Jew-Iraqi,Jew-Azeri,3.71,40.88,48.02
Mansi,Estonian,6.779,58.45,25.31
Spanish-Northwest,Romanian,2.735,45.78,22.95
Afar,Egyptian,0.373,30.69,31.28
Netherlands-AJ,Karachay,1.749,43.94,42.52
Kyrgyz-South,French-Northwest,1.355,48.25,-3.24
Eritrean,Gujarati,0.352,23.2,72.7
Jew-Iberian,Hemshin,0.816,41,39.7
Jew-Iberian,Swede,1.979,59.31,18
French-Southeast,Turk-Central,1.939,38.73,35.48
Austria-AJ,French-North,2.377,50.18,2.37
English-Southeast,Czech,7.579,50.1,14.4
Libyan,Romanian,0.901,45.78,22.95
Basque-Spain,Kyrgyz-South,1.254,38.11,73.86
Afar,Jew-Ethiopian,3.14,9.03,38.73
Mansi,Kyrgyz-South,5.387,38.11,73.86
Brahmin,Czech,1.458,50.1,14.4
French-Southeast,Russian-Central,4.46,57.19,38.52
Eritrean,French-Southwest,0.129,43.5,-0.72
French-Southwest,Turkmen,0.926,42.49,59.41
Sicilian-East,Jew-Georgian,1.515,41.72,44.78
Algerian,Turk-West,0.536,37.92,27.75
Cossack,Russian-Northwest,15.339,57.59,28.73
French-Southwest,Hungarian,3.176,47.49,19.07
Scot,BedouinB,1.046,31,35
Basque-Spain,Estonian,5.499,58.45,25.31
Sicilian-East,Egyptian,0.682,30.69,31.28
English-Southwest,Slovakian,5.427,48.67,19.7
Kryashen,BedouinB,1.393,31,35
Shaigi,Italian-South,1.305,41.89,14.49
English-Southwest,Jew-Cochin,1.33,9.97,76.28
Austria-AJ,Palestinian,1.208,32.13,35.04
Shaigi,Spanish-Northwest,2.727,42.5,-8.1
Algerian,Mozabite,15.789,32,3
Cossack,Spanish-Balearic,3.336,39.33,2.37
Jew-Cochin,Slovakian,1.933,48.67,19.7
Spanish-Northwest,Saudi,0.983,19.75,43.35
Netherlands-AJ,Jordanian,1.815,32.03,35.91
Jew-Iraqi,Karachay,1.201,43.94,42.52
Afar,Komi,0.235,61.87,51.43
Mansi,Russian-Arctic,15.719,63.43,45.1
Jew-Iberian,Iranian-South,0.185,27.18,56.27
Kyrgyz-South,Czech,1.509,50.1,14.4
Eritrean,Pashtun,0.318,33.49,70.5
Jew-Iberian,Brahui,0.759,30.5,66.5
French-Southeast,Moroccan,2.072,33.53,-7.58
Austria-AJ,Ingush,1.998,43.52,44.58
English-Southeast,Assyrian-MiddleEast,1.515,37.27,44.21
Afar,Latvia-AJ,0.252,56.95,24.1
Brahmin,Assyrian-MiddleEast,0.791,37.27,44.21
Libyan,Saudi,16.895,19.75,43.35
Mansi,Sicilian-East,1.683,37.14,15.24
Basque-Spain,Sicilian-East,3.307,37.14,15.24
Eritrean,Jew-Moroccan,0.991,34.02,-6.84
French-Southwest,Turk-West,1.716,37.92,27.75
Algerian,Maltese,1.559,35.94,14.38
Sicilian-East,Assyrian-Caucasus,1.242,40.21,44.34
Cossack,Latvian,16.381,56.91,24.1
French-Southwest,Mozabite,1.161,32,3
Scot,Jew-Uzbek,2.318,41.31,69.29
English-Southwest,Corsican,4.126,42.04,9.01
Sicilian-East,Komi,2.108,61.87,51.43
Basque-Spain,Russian-Arctic,4.092,63.43,45.1
English-Southwest,Libyan,0.841,32.88,13.19
Shaigi,Tuscan,0.991,43.36,11.12
Kryashen,Jew-Uzbek,1.357,41.31,69.29
Shaigi,English-Southwest,2.118,50.3,-4.9
Cossack,Druze,1.218,32.05,35.02
Austria-AJ,Mordvin,2.176,54.49,44.21
Algerian,Iranian-Central,0.511,31.43,51.07
Jew-Cochin,Corsican,0.843,42.04,9.01
Afar,Azeri,0.276,40.97,47.86
Spanish-Northwest,Portuguese,4.451,39.4,-8.22
Mansi,Karelian,10.923,60.85,32.14
Netherlands-AJ,Finn,3.406,60.39,24.49
Jew-Iraqi,Jordanian,1.5,32.03,35.91
Jew-Iberian,Ukranian-West,2.057,50.3,25.49
Eritrean,Chuvash,0.291,55.33,48.74
Jew-Iberian,Uzbek-East,0.949,41.18,69.22
Kyrgyz-South,Assyrian-MiddleEast,0.516,37.27,44.21
Austria-AJ,Chechen,1.571,43.33,45.65
French-Southeast,Romanian,3.203,45.78,22.95
English-Southeast,Lebanese-Muslim,1.512,33.89,35.5
Afar,Jew-Georgian,0.146,41.72,44.78
Libyan,Portuguese,1.478,39.4,-8.22
Mansi,Jew-Iraqi,0.827,33.33,44.42
Brahmin,Lebanese-Muslim,1.086,33.89,35.5
Basque-Spain,Jew-Iraqi,1.2,33.33,44.42
Eritrean,Jew-French,0.262,48.87,2.33
Jew-Cochin,Libyan,0.925,32.88,13.19
Algerian,Tunisian,10.132,36.82,10.17
French-Southwest,Maltese,2.189,35.94,14.38
Sicilian-East,Cypriot,1.531,35.13,33.43
Cossack,Gagauz,7.162,45.54,28.38
Scot,Greek-North,3.929,40.64,22.94
French-Southwest,Iranian-Central,1.016,31.43,51.07
English-Southwest,Greek-South,2.473,37.9,23.7
Sicilian-East,Azeri,1.512,40.97,47.86
Shaigi,Slovenian,1.675,46.15,15
English-Southwest,Basque-Spain,5.365,43.13,-2.08
Basque-Spain,Karelian,4.171,60.85,32.14
Kryashen,Greek-North,3.629,40.64,22.94
Shaigi,French-Southeast,1.193,44.01,6.21
Cossack,Adygei,2.802,44.39,39.31
Algerian,Romania-AJ,1.198,44.43,26.1
Jew-Cochin,Greek-South,0.903,37.9,23.7
Afar,Armenian,0.57,40.2,44.39
Spanish-Northwest,Spanish-North,5.566,43.05,-3.35
Mansi,Gujarati,0.851,23.2,72.7
Jew-Iberian,Russian-Southwest,2.786,51.34,36.86
Jew-Iraqi,Finn,0.965,60.39,24.49
Netherlands-AJ,Jew-Italian,48.202,41.9,12.48
Austria-AJ,Ukraine-AJ,87.934,50.43,30.52
Eritrean,Ossetian,0.327,43.07,44.23
Jew-Iberian,Tatar-Siberia,0.641,57.75,67.71
Kyrgyz-South,Lebanese-Muslim,0.267,33.89,35.5
Afar,Assyrian-Caucasus,0.237,40.21,44.34
Austria-AJ,Kurd,1.801,43.8,40.4
English-Southeast,Hazara,1.706,33.5,70
French-Southeast,Saudi,1.507,19.75,43.35
Libyan,Spanish-North,1.527,43.05,-3.35
Mansi,French-Southwest,1.168,43.5,-0.72
Brahmin,Hazara,1.316,33.5,70
Basque-Spain,French-Southwest,31.196,43.5,-0.72
Eritrean,Jew-Ethiopian,2.513,9.03,38.73
Jew-Cochin,Basque-Spain,1.714,43.13,-2.08
Algerian,Jew-Turkish,1.213,41.02,28.95
French-Southwest,Tunisian,0.845,36.82,10.17
Sicilian-East,Jew-Tunisian,2.284,36.8,10.18
Cossack,Bengali,0.67,23.51,89.9
Scot,German,6.868,51.48,10.37
English-Southwest,Estonian,6.499,58.45,25.31
French-Southwest,Romania-AJ,2.515,44.43,26.1
Shaigi,Slovakian,1.641,48.67,19.7
English-Southwest,Kyrgyz-South,1.026,38.11,73.86
Sicilian-East,Armenian,1.628,40.2,44.39
Kryashen,German,6.93,51.48,10.37
Shaigi,Jew-Cochin,0.923,9.97,76.28
Basque-Spain,Gujarati,0.912,23.2,72.7
Cossack,Tajik,2.294,38.41,69.6
Algerian,BedouinA,2.019,31,35
Jew-Cochin,Estonian,1.707,58.45,25.31
Afar,Pole,0.3,51.98,19.4
Spanish-Northwest,French-Northeast,3.776,48.76,6.13
Mansi,Pashtun,1.114,33.49,70.5
Jew-Iberian,Ukranian-East,1.76,50.74,34.39
Netherlands-AJ,Italian-Northwest,2.731,45.05,7.52
Jew-Iraqi,Jew-Italian,2.608,41.9,12.48
Eritrean,Turk-Northwest,0.595,40.4,28.56
Jew-Iberian,Spanish-Central,3.668,40.36,-3.74
Afar,Cypriot,0.4,35.13,33.43
Austria-AJ,Avar,1.436,41.93,47.33
English-Southeast,Kumyk,3.184,43.18,46.76
French-Southeast,Portuguese,4.268,39.4,-8.22
Kyrgyz-South,Hazara,4.019,33.5,70
Mansi,Jew-Moroccan,1.165,34.02,-6.84
Libyan,French-Northeast,1.334,48.76,6.13
Brahmin,Kumyk,1.606,43.18,46.76
Austria-AJ,Russia-AJ,76.21,55.75,37.62
Eritrean,Latvia-AJ,0.272,56.95,24.1
Basque-Spain,Jew-Moroccan,2.951,34.02,-6.84
Algerian,Syrian,1.519,35.13,36.87
French-Southwest,Jew-Turkish,1.2,41.02,28.95
Sicilian-East,general-AJ,2.119,52.23,21.02
Jew-Cochin,Kyrgyz-South,0.464,38.11,73.86
Scot,Somali,0.246,5.6,48.3
Cossack,French-North,5.027,50.18,2.37
English-Southwest,Russian-Arctic,5.918,63.43,45.1
Shaigi,Corsican,1.793,42.04,9.01
French-Southwest,BedouinA,0.912,31,35
English-Southwest,Sicilian-East,2.232,37.14,15.24
Kryashen,Somali,0.226,5.6,48.3
Sicilian-East,Pole,3.067,51.98,19.4
Shaigi,Libyan,5.36,32.88,13.19
Basque-Spain,Pashtun,1.168,33.49,70.5
Cossack,Palestinian,1.449,32.13,35.04
Jew-Cochin,Russian-Arctic,1.396,63.43,45.1
Algerian,Nogai,0.644,44.82,43.22
Afar,Sardinian,0.356,40,9
Spanish-Northwest,French-Northwest,3.834,48.25,-3.24
Jew-Iberian,Turkmen,0.709,42.49,59.41
Mansi,Chuvash,12.705,55.33,48.74
Afar,Jew-Tunisian,0.371,36.8,10.18
Netherlands-AJ,Ukranian-Central,6.184,50.47,30.3
Jew-Iberian,Hungarian,2.947,47.49,19.07
Jew-Iraqi,Italian-Northwest,1.38,45.05,7.52
Eritrean,Egyptian,0.408,30.69,31.28
Austria-AJ,Turk-South,1.789,37,35.32
Mansi,Jew-French,1.601,48.87,2.33
English-Southeast,Orcadian,7.674,59,-3
Libyan,French-Northwest,0.909,48.25,-3.24
French-Southeast,Spanish-North,4.413,43.05,-3.35
Kyrgyz-South,Kumyk,1.231,43.18,46.76
Austria-AJ,Bashkir,1.116,54.32,56.12
Algerian,Jew-Libyan,2.472,32.92,13.18
Brahmin,Orcadian,1.895,59,-3
Basque-Spain,Jew-French,3.16,48.87,2.33
Eritrean,Jew-Georgian,0.361,41.72,44.78
French-Southwest,Syrian,0.583,35.13,36.87
Sicilian-East,Jew-Yemenite,1.817,15.35,44.2
Scot,Czechia-AJ,3.173,50.08,14.47
Jew-Cochin,Sicilian-East,1.454,37.14,15.24
Cossack,Ingush,2.809,43.52,44.58
English-Southwest,Karelian,6.451,60.85,32.14
Shaigi,Greek-South,0.798,37.9,23.7
French-Southwest,Nogai,1.473,44.82,43.22
English-Southwest,Jew-Iraqi,1.24,33.33,44.42
Kryashen,Czechia-AJ,2.364,50.08,14.47
Sicilian-East,Sardinian,1.91,40,9
Shaigi,Basque-Spain,1.226,43.13,-2.08
Basque-Spain,Chuvash,2.913,55.33,48.74
Cossack,Mordvin,12.104,54.49,44.21
Jew-Cochin,Karelian,1.29,60.85,32.14
Algerian,Kyrgyz-North,0.447,43.12,81.15
Afar,Baloch,0.394,30.5,66.5
Spanish-Northwest,Czech,2.733,50.1,14.4
Jew-Iberian,Turk-West,0.859,37.92,27.75
Afar,general-AJ,0.566,52.23,21.02
Mansi,Ossetian,1.412,43.07,44.23
Netherlands-AJ,Tabasaran,2.185,42.05,47.81
Jew-Iberian,Mozabite,2.379,32,3
Mansi,Jew-Ethiopian,0.154,9.03,38.73
Eritrean,Komi,0.465,61.87,51.43
Jew-Iraqi,Ukranian-Central,0.902,50.47,30.3
Austria-AJ,Karakalpak,0.349,42.48,59.61
English-Southeast,Uyghur-North,1.324,43.95,80.86
Libyan,Czech,1.188,50.1,14.4
Algerian,Spanish-South,2.152,37.7,-3.55
French-Southeast,French-Northeast,3.796,48.76,6.13
Basque-Spain,Jew-Ethiopian,0.11,9.03,38.73
Austria-AJ,Spanish-Catalonia,1.997,41.68,1.66
Kyrgyz-South,Orcadian,1.655,59,-3
Brahmin,Uyghur-North,2.127,43.95,80.86
Eritrean,Assyrian-Caucasus,0.324,40.21,44.34
French-Southwest,Jew-Libyan,1.213,32.92,13.18
Sicilian-East,Uzbek-West,1.05,41.55,60.63
Cossack,Chechen,2.433,43.33,45.65
Scot,Lezgin,2.519,42.05,48.1
Jew-Cochin,Jew-Iraqi,7.435,33.33,44.42
English-Southwest,Gujarati,1.349,23.2,72.7
Shaigi,Estonian,0.877,58.45,25.31
English-Southwest,French-Southwest,5.392,43.5,-0.72
Kryashen,Lezgin,1.733,42.05,48.1
French-Southwest,Kyrgyz-North,0.868,43.12,81.15
Sicilian-East,Baloch,1.24,30.5,66.5
Shaigi,Kyrgyz-South,0.584,38.11,73.86
Jew-Cochin,Gujarati,1.735,23.2,72.7
Cossack,Ukraine-AJ,4.329,50.43,30.52
Basque-Spain,Ossetian,2.039,43.07,44.23
Algerian,Yemenite-Northwest,1.22,15.74,44.45
Afar,Swede,0.182,59.31,18
Spanish-Northwest,Assyrian-MiddleEast,1.349,37.27,44.21
Jew-Iberian,Maltese,2.21,35.94,14.38
Afar,Jew-Yemenite,1.573,15.35,44.2
Mansi,Turk-Northwest,2.197,40.4,28.56
Netherlands-AJ,Veps,5.017,61.3,35.01
Mansi,Latvia-AJ,1.867,56.95,24.1
Jew-Iberian,Iranian-Central,1.173,31.43,51.07
Eritrean,Azeri,0.469,40.97,47.86
Algerian,Darginian,0.793,42.18,47.22
Austria-AJ,Turk-Central,1.601,38.73,35.48
Libyan,Assyrian-MiddleEast,0.954,37.27,44.21
English-Southeast,Spanish-Valencia,4.476,39.02,-0.37
Jew-Iraqi,Tabasaran,1.492,42.05,47.81
Basque-Spain,Latvia-AJ,2.145,56.95,24.1
French-Southeast,French-Northwest,4.591,48.25,-3.24
Eritrean,Cypriot,0.983,35.13,33.43
Scot,Kazakh-East,1.936,44,87.46
French-Southwest,Spanish-South,9.418,37.7,-3.55
Kyrgyz-South,Uyghur-North,3.514,43.95,80.86
Brahmin,Spanish-Valencia,1.587,39.02,-0.37
Cossack,Kurd,1.959,43.8,40.4
Sicilian-East,Hemshin,1.812,41,39.7
Jew-Cochin,French-Southwest,0.75,43.5,-0.72
English-Southwest,Pashtun,1.467,33.49,70.5
Shaigi,Russian-Arctic,1.061,63.43,45.1
Austria-AJ,Poland-AJ,97.429,52.25,21
English-Southwest,Jew-Moroccan,1.897,34.02,-6.84
Kryashen,Kazakh-East,2.512,44,87.46
French-Southwest,Yemenite-Northwest,0.622,15.74,44.45
Sicilian-East,Swede,2.753,59.31,18
Algerian,Jew-Bulgarian,1.217,42.68,23.32
Jew-Cochin,Pashtun,1.045,33.49,70.5
Shaigi,Sicilian-East,1.233,37.14,15.24
Basque-Spain,Turk-Northwest,2.009,40.4,28.56
Cossack,Russia-AJ,2.941,55.75,37.62
Spanish-Northwest,Lebanese-Muslim,1.097,33.89,35.5
Afar,Brahui,0.358,30.5,66.5
Afar,Uzbek-West,0.422,41.55,60.63
Jew-Iberian,Tunisian,1.794,36.82,10.17
Mansi,Egyptian,0.743,30.69,31.28
Netherlands-AJ,Norwegian,4.061,60.32,5.81
Mansi,Jew-Georgian,0.729,41.72,44.78
Algerian,Jew-Kurdish,0.615,36.34,43.15
English-Southeast,Moldavian,4.144,46.51,29.66
Eritrean,Armenian,0.646,40.2,44.39
Libyan,Lebanese-Muslim,1.081,33.89,35.5
Basque-Spain,Jew-Georgian,0.937,41.72,44.78
Austria-AJ,Moroccan,0.681,33.53,-7.58
Jew-Iberian,Romania-AJ,6.805,44.43,26.1
Eritrean,Jew-Tunisian,0.878,36.8,10.18
Jew-Iraqi,Veps,1.412,61.3,35.01
French-Southeast,Czech,5.05,50.1,14.4
Scot,Kazakh-West,1.291,51.8,67.16
French-Southwest,Darginian,1.436,42.18,47.22
Cossack,Avar,1.746,41.93,47.33
Brahmin,Moldavian,1.773,46.51,29.66
Sicilian-East,Iranian-South,1.474,27.18,56.27
Kyrgyz-South,Spanish-Valencia,0.76,39.02,-0.37
English-Southwest,Chuvash,3.233,55.33,48.74
Jew-Cochin,Jew-Moroccan,8.412,34.02,-6.84
Shaigi,Karelian,1.403,60.85,32.14
English-Southwest,Jew-French,2.224,48.87,2.33
Austria-AJ,Russian-Central,2.378,57.19,38.52
Kryashen,Kazakh-West,2.382,51.8,67.16
French-Southwest,Jew-Bulgarian,2.083,42.68,23.32
Algerian,Hungary-AJ,1.758,47.5,19.08
Sicilian-East,Brahui,1.098,30.5,66.5
Shaigi,Jew-Iraqi,0.327,33.33,44.42
Jew-Cochin,Chuvash,1.16,55.33,48.74
Basque-Spain,Egyptian,1.224,30.69,31.28
Cossack,Bashkir,5.568,54.32,56.12
Afar,Uzbek-East,0.132,41.18,69.22
Spanish-Northwest,Hazara,0.758,33.5,70
Afar,Hemshin,0.366,41,39.7
Jew-Iberian,Jew-Turkish,6.552,41.02,28.95
Mansi,Komi,13.859,61.87,51.43
Mansi,Assyrian-Caucasus,1.582,40.21,44.34
Netherlands-AJ,Abkhasian,1.898,43.04,40.93
Algerian,Jew-Iranian,0.703,35.7,51.42
English-Southeast,Jew-Azeri,1.05,40.88,48.02
